Afeganistão, Cabul, Ásia
Gâmbia, Banjul, África
Gana, Acra, África
Geórgia, Tebilíssi, Ásia
Granada, São Jorge, América
Grécia, Atenas, Europa
Guatemala, Cidade da Guatemala, América
Guiana, Georgetown, América
Guiné, Conacri, África
Guiné Equatorial, Malabo, África
Guiné-Bissau, Bissau, África
Haiti, Porto Príncipe, América
Honduras, Tegucigalpa, América
Hungria, Budapeste, Europa
Iémen, Saná, Ásia
Ilhas Marechal, Majuro, Oceania
Índia, Nova Déli, Ásia
Indonésia, Jacarta, Ásia
Irão, Teerão, Ásia
Iraque, Bagdad, Ásia
Irlanda, Dublin, Europa
Islândia, Reykjavík, Europa
Israel, Jerusalém, Ásia
Itália, Roma, Europa
Jamaica, Kingston, América
Japão, Tóquio, Ásia
Jibuti, Jibuti, África
Jordânia, Amã, Ásia
Laus, Vienciana, Ásia
Lesoto, Maseru, África
Letónia, Riga, Europa
Líbano, Beirute, Ásia
Libéria, Monróvia, África
Líbia, Trípoli, África
Lichtenstein, Vaduz, Europa
Lituânia, Vílnius, Europa
Luxemburgo, Luxemburgo, Europa
Macedónia, Escópia, Europa
Madagáscar, Antananarivo, África
Malásia, Cuala Lumpur, Ásia
Maláui, Lilôngue, África
Maldivas, Malé, Ásia
Mali, Bamaco, África
Malta, Valeta, Europa
Marrocos, Rebate, África
Maurícia, Porto Luís, África
Mauritânia, Nuaquechote, África
México, Cidade do México, América
Mianmar, Nepiedó, Ásia
Micronésia, Paliquir, Oceania
Moçambique, Maputo, África
Moldávia, Quixinau, Europa
Mónaco, Mónaco, Europa
Mongólia, Ulã Bator, Ásia
Montenegro, Podgoritsa, Europa
Namíbia, Vinduque, África
Nauru, Iarém, Oceania
Nepal, Catmandu, Ásia
Nicarágua, Manágua, América
Níger, Niamei, África
Nigéria, Abuja, África
Noruega, Oslo, Europa
Nova Zelândia, Wellington, Oceania
Omã, Mascate, Ásia
Holanda, Amesterdão, Europa
Palau, Ngerulmud, Oceania
Panamá, Cidade do Panamá, América
Papua Nova Guiné, Porto Moresby, Oceania
Paquistão, Islamabade, Ásia
Paraguai, Assunção, América
Peru, Lima, América
Polónia, Varsóvia, Europa
Portugal, Lisboa, Europa
Quénia, Nairóbi, África
Quirguistão, Bisqueque, Ásia
Quiribáti, Taraua do Sul, Oceania
Reino Unido, Londres, Europa
República Centro-Africana, Bangui, África
República Checa, Praga, Europa
República Democrática do Congo, Quinxassa, África
República Dominicana, São Domingos, América
Roménia, Bucareste, Europa
Ruanda, Quigali, África
Rússia, Moscovo, Europa
Salomão, Honiara, Oceania
El Salvador, São Salvador, América
Samoa, Apia, Oceania
Santa Lúcia, Castries, América
São Cristóvão e Neves, Basseterre, América
São Marinho, São Marinho, Europa
São Tomé e Príncipe, São Tomé, África
São Vicente e Granadinas, Kingstown, América
Seicheles, Vitória, África
Senegal, Dacar, África
Serra Leoa, Freetown, África
Sérvia, Belgrado, Europa
Singapura, Singapura, Ásia
Síria, Damasco, Ásia
Somália, Mogadíscio, África
Sri Lanka, Sri Jaiavardenapura-Cota, Ásia
Suazilândia, Lobamba, África
Sudão, Cartum, África
Sudão do Sul, Juba, África
Suécia, Estocolmo, Europa
Suíça, Berna, Europa
Suriname, Paramaribo, América
Tailândia, Banguecoque, Ásia
Taiwan, Taipé, Ásia
Tajiquistão, Duchambé, Ásia
Tanzânia, Dodoma, África
Timor-Leste, Díli, Oceania
Togo, Lomé, África
Tonga, Nucualofa, Oceania
Trinidade e Tobago, Porto de Espanha, América
Tunísia, Tunes, África
Turcomenistão, Asgabate, Ásia
Turquia, Ancara, Ásia
Tuvalu, Funafuti, Oceania
Ucrânia, Kiev, Europa
Uganda, Campala, África
Uruguai, Montevidéu, América
Uzbequistão, Tasquente, Ásia
Vanuatu, Porto Vila, Oceania
Vaticano, Vaticano, Europa
Venezuela, Caracas, América
Vietname, Hanói, Ásia
Zâmbia, Lusaca, África
Zimbabué, Harare, África
